Contract Number,Filename,Status,Risk Level,Contract Type,Contract Value,Party A,Party B,Start Date,End Date,Compliance Factors
CNT-2024-0022,CNT-2024-0022_ACTIVE_HIGH_Service_Level_Agreement.txt,ACTIVE,HIGH,Service Level Agreement,"402,828",TechCorp Solutions,SecureData Corp,"February 04, 2025","August 18, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0023,CNT-2024-0023_ACTIVE_HIGH_Partnership_Agreement.txt,ACTIVE,HIGH,Partnership Agreement,"325,322",GlobalCorp Industries,VendorMax Solutions,"January 23, 2025","April 16, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0024,CNT-2024-0024_ACTIVE_HIGH_Data_Processing_Agreement.txt,ACTIVE,HIGH,Data Processing Agreement,"124,059",TechCorp Solutions,CloudScale Networks,"February 21, 2025","September 13, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0025,CNT-2024-0025_ACTIVE_CRITICAL_Equipment_Rental_Agreement.txt,ACTIVE,CRITICAL,Equipment Rental Agreement,"644,182",GlobalCorp Industries,CloudScale Networks,"April 07, 2025","May 24, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0026,CNT-2024-0026_ACTIVE_CRITICAL_Subscription_Agreement.txt,ACTIVE,CRITICAL,Subscription Agreement,"957,327",TechCorp Solutions,CloudScale Networks,"July 19, 2025","June 30, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0027,CNT-2024-0027_ACTIVE_CRITICAL_Equipment_Rental_Agreement.txt,ACTIVE,CRITICAL,Equipment Rental Agreement,"997,034",InnovateTech Inc,VendorMax Solutions,"March 30, 2025","December 04, 2027","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0028,CNT-2024-0028_EXPIRED_LOW_Software_Licensing_Agreement.txt,EXPIRED,LOW,Software Licensing Agreement,"16,803",NexGen Technologies,DataVault Systems,"July 10, 2025","September 16, 2025",Standard
CNT-2024-0029,CNT-2024-0029_EXPIRED_LOW_Partnership_Agreement.txt,EXPIRED,LOW,Partnership Agreement,"19,461",GlobalCorp Industries,SecureData Corp,"December 04, 2025","October 02, 2025",Standard
CNT-2024-0030,CNT-2024-0030_EXPIRED_LOW_Distribution_Agreement.txt,EXPIRED,LOW,Distribution Agreement,"5,142",TechCorp Solutions,VendorMax Solutions,"September 19, 2025","August 23, 2025",Standard
CNT-2024-0031,CNT-2024-0031_EXPIRED_MEDIUM_Supply_Agreement.txt,EXPIRED,MEDIUM,Supply Agreement,"66,864",DataStream Systems,CloudScale Networks,"June 21, 2025","November 07, 2025",Standard
CNT-2024-0032,CNT-2024-0032_EXPIRED_MEDIUM_IT_Support_Contract.txt,EXPIRED,MEDIUM,IT Support Contract,"98,776",GlobalCorp Industries,VendorMax Solutions,"April 20, 2025","December 08, 2025",Standard
CNT-2024-0033,CNT-2024-0033_EXPIRED_MEDIUM_IT_Support_Contract.txt,EXPIRED,MEDIUM,IT Support Contract,"88,437",TechCorp Solutions,CloudScale Networks,"September 06, 2025","August 06, 2025",Standard
CNT-2024-0034,CNT-2024-0034_EXPIRED_MEDIUM_IT_Support_Contract.txt,EXPIRED,MEDIUM,IT Support Contract,"85,981",DataStream Systems,BuildPro Construction,"September 06, 2025","November 04, 2025",Standard
CNT-2024-0035,CNT-2024-0035_EXPIRED_HIGH_Equipment_Lease.txt,EXPIRED,HIGH,Equipment Lease,"264,688",NexGen Technologies,CloudScale Networks,"November 22, 2025","November 30, 2025","GDPR, PCI-DSS, SOC 2"
CNT-2024-0036,CNT-2024-0036_EXPIRED_HIGH_Office_Lease_Agreement.txt,EXPIRED,HIGH,Office Lease Agreement,"185,479",TechCorp Solutions,SecureData Corp,"June 29, 2025","September 14, 2025","GDPR, PCI-DSS, SOC 2"
CNT-2024-0037,CNT-2024-0037_EXPIRED_CRITICAL_API_Integration_License.txt,EXPIRED,CRITICAL,API Integration License,"802,230",InnovateTech Inc,CloudScale Networks,"April 28, 2025","December 26, 2025","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0038,CNT-2024-0038_RENEWED_LOW_Distribution_Agreement.txt,RENEWED,LOW,Distribution Agreement,"7,679",TechCorp Solutions,DataVault Systems,"October 20, 2025","December 09, 2026",Standard
CNT-2024-0039,CNT-2024-0039_RENEWED_LOW_Development_Agreement.txt,RENEWED,LOW,Development Agreement,"12,795",TechCorp Solutions,BuildPro Construction,"January 20, 2025","February 24, 2028",Standard
CNT-2024-0040,CNT-2024-0040_RENEWED_MEDIUM_Construction_Contract.txt,RENEWED,MEDIUM,Construction Contract,"91,826",DataStream Systems,VendorMax Solutions,"June 23, 2025","July 02, 2026",Standard
CNT-2024-0041,CNT-2024-0041_RENEWED_MEDIUM_Marketing_Services_Agreement.txt,RENEWED,MEDIUM,Marketing Services Agreement,"48,381",InnovateTech Inc,BuildPro Construction,"August 29, 2025","December 16, 2026",Standard
CNT-2024-0042,CNT-2024-0042_RENEWED_MEDIUM_Development_Agreement.txt,RENEWED,MEDIUM,Development Agreement,"84,835",InnovateTech Inc,CloudScale Networks,"November 09, 2025","December 07, 2026",Standard
CNT-2024-0043,CNT-2024-0043_RENEWED_HIGH_IT_Support_Contract.txt,RENEWED,HIGH,IT Support Contract,"171,532",GlobalCorp Industries,CloudScale Networks,"March 18, 2025","October 15, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0044,CNT-2024-0044_RENEWED_HIGH_Marketing_Services_Agreement.txt,RENEWED,HIGH,Marketing Services Agreement,"480,596",NexGen Technologies,VendorMax Solutions,"May 01, 2025","May 16, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0045,CNT-2024-0045_RENEWED_CRITICAL_Office_Lease_Agreement.txt,RENEWED,CRITICAL,Office Lease Agreement,"1,675,746",GlobalCorp Industries,DataVault Systems,"December 14, 2025","March 18, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0046,CNT-2024-0046_PENDING_LOW_Software_Licensing_Agreement.txt,PENDING,LOW,Software Licensing Agreement,"6,857",DataStream Systems,SecureData Corp,"January 26, 2025","August 17, 2027",Standard
CNT-2024-0047,CNT-2024-0047_PENDING_LOW_Logistics_Contract.txt,PENDING,LOW,Logistics Contract,"8,890",GlobalCorp Industries,BuildPro Construction,"April 21, 2025","October 22, 2026",Standard
CNT-2024-0048,CNT-2024-0048_PENDING_LOW_Maintenance_Contract.txt,PENDING,LOW,Maintenance Contract,"9,902",DataStream Systems,DataVault Systems,"September 06, 2025","May 12, 2029",Standard
CNT-2024-0049,CNT-2024-0049_PENDING_MEDIUM_Software_Licensing_Agreement.txt,PENDING,MEDIUM,Software Licensing Agreement,"68,108",DataStream Systems,CloudScale Networks,"March 14, 2025","April 12, 2027",Standard
CNT-2024-0050,CNT-2024-0050_PENDING_MEDIUM_Distribution_Agreement.txt,PENDING,MEDIUM,Distribution Agreement,"35,949",GlobalCorp Industries,CloudScale Networks,"July 14, 2025","January 25, 2027",Standard
CNT-2024-0051,CNT-2024-0051_PENDING_MEDIUM_API_Integration_License.txt,PENDING,MEDIUM,API Integration License,"91,333",InnovateTech Inc,BuildPro Construction,"October 19, 2025","January 23, 2027",Standard
CNT-2024-0052,CNT-2024-0052_PENDING_MEDIUM_API_Integration_License.txt,PENDING,MEDIUM,API Integration License,"95,277",NexGen Technologies,SecureData Corp,"January 14, 2025","June 27, 2028",Standard
CNT-2024-0053,CNT-2024-0053_PENDING_HIGH_Equipment_Lease.txt,PENDING,HIGH,Equipment Lease,"298,065",NexGen Technologies,VendorMax Solutions,"July 27, 2025","December 03, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0054,CNT-2024-0054_PENDING_HIGH_Software_Licensing_Agreement.txt,PENDING,HIGH,Software Licensing Agreement,"304,073",GlobalCorp Industries,DataVault Systems,"February 14, 2025","October 09, 2027","GDPR, PCI-DSS, SOC 2"
CNT-2024-0055,CNT-2024-0055_PENDING_CRITICAL_Equipment_Lease.txt,PENDING,CRITICAL,Equipment Lease,"1,203,624",InnovateTech Inc,VendorMax Solutions,"May 13, 2025","May 29, 2027","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0056,CNT-2024-0056_WARNING_LOW_Service_Level_Agreement.txt,WARNING,LOW,Service Level Agreement,"14,673",DataStream Systems,SecureData Corp,"November 10, 2025","February 13, 2026",Standard
CNT-2024-0057,CNT-2024-0057_WARNING_LOW_Development_Agreement.txt,WARNING,LOW,Development Agreement,"18,560",GlobalCorp Industries,BuildPro Construction,"April 21, 2025","February 08, 2026",Standard
CNT-2024-0058,CNT-2024-0058_WARNING_MEDIUM_Vendor_Agreement.txt,WARNING,MEDIUM,Vendor Agreement,"72,352",NexGen Technologies,VendorMax Solutions,"May 28, 2025","January 28, 2026",Standard
CNT-2024-0059,CNT-2024-0059_WARNING_MEDIUM_Equipment_Rental_Agreement.txt,WARNING,MEDIUM,Equipment Rental Agreement,"58,652",NexGen Technologies,BuildPro Construction,"April 24, 2025","January 15, 2026",Standard
CNT-2024-0060,CNT-2024-0060_WARNING_MEDIUM_Supply_Agreement.txt,WARNING,MEDIUM,Supply Agreement,"64,569",TechCorp Solutions,VendorMax Solutions,"June 08, 2025","January 23, 2026",Standard
CNT-2024-0061,CNT-2024-0061_WARNING_HIGH_Partnership_Agreement.txt,WARNING,HIGH,Partnership Agreement,"284,405",DataStream Systems,SecureData Corp,"November 18, 2025","January 15, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0062,CNT-2024-0062_WARNING_HIGH_Service_Level_Agreement.txt,WARNING,HIGH,Service Level Agreement,"317,487",TechCorp Solutions,DataVault Systems,"December 01, 2025","February 05, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0063,CNT-2024-0063_WARNING_HIGH_Professional_Services_Contract.txt,WARNING,HIGH,Professional Services Contract,"240,306",InnovateTech Inc,VendorMax Solutions,"April 05, 2025","January 18, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0064,CNT-2024-0064_WARNING_CRITICAL_Manufacturing_Agreement.txt,WARNING,CRITICAL,Manufacturing Agreement,"1,563,553",InnovateTech Inc,BuildPro Construction,"April 23, 2025","February 12, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0065,CNT-2024-0065_WARNING_CRITICAL_Service_Level_Agreement.txt,WARNING,CRITICAL,Service Level Agreement,"1,638,033",NexGen Technologies,SecureData Corp,"November 19, 2025","January 15, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0066,CNT-2024-0066_PENDING_LOW_Equipment_Lease.txt,PENDING,LOW,Equipment Lease,"9,492",GlobalCorp Industries,DataVault Systems,"June 28, 2025","September 02, 2027",Standard
CNT-2024-0067,CNT-2024-0067_WARNING_LOW_Distribution_Agreement.txt,WARNING,LOW,Distribution Agreement,"18,375",TechCorp Solutions,VendorMax Solutions,"October 09, 2025","February 12, 2026",Standard
CNT-2024-0068,CNT-2024-0068_EXPIRED_LOW_Healthcare_Services_Agreement.txt,EXPIRED,LOW,Healthcare Services Agreement,"18,232",DataStream Systems,VendorMax Solutions,"April 01, 2025","August 12, 2025",Standard
CNT-2024-0069,CNT-2024-0069_PENDING_HIGH_Healthcare_Services_Agreement.txt,PENDING,HIGH,Healthcare Services Agreement,"498,603",TechCorp Solutions,BuildPro Construction,"February 20, 2025","March 02, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0070,CNT-2024-0070_RENEWED_HIGH_Software_Licensing_Agreement.txt,RENEWED,HIGH,Software Licensing Agreement,"105,601",TechCorp Solutions,DataVault Systems,"July 27, 2025","December 13, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0071,CNT-2024-0071_ACTIVE_HIGH_Equipment_Lease.txt,ACTIVE,HIGH,Equipment Lease,"318,188",InnovateTech Inc,VendorMax Solutions,"February 26, 2025","March 28, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0072,CNT-2024-0072_WARNING_CRITICAL_Vendor_Agreement.txt,WARNING,CRITICAL,Vendor Agreement,"1,277,471",GlobalCorp Industries,DataVault Systems,"March 19, 2025","January 22, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0073,CNT-2024-0073_PENDING_CRITICAL_Distribution_Agreement.txt,PENDING,CRITICAL,Distribution Agreement,"898,849",InnovateTech Inc,CloudScale Networks,"August 08, 2025","August 21, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0074,CNT-2024-0074_EXPIRED_MEDIUM_Software_Licensing_Agreement.txt,EXPIRED,MEDIUM,Software Licensing Agreement,"67,600",NexGen Technologies,SecureData Corp,"April 13, 2025","October 09, 2025",Standard
CNT-2024-0075,CNT-2024-0075_RENEWED_MEDIUM_Data_Processing_Agreement.txt,RENEWED,MEDIUM,Data Processing Agreement,"33,450",GlobalCorp Industries,SecureData Corp,"November 20, 2025","June 06, 2027",Standard
CNT-2024-0076,CNT-2024-0076_WARNING_CRITICAL_Marketing_Services_Agreement.txt,WARNING,CRITICAL,Marketing Services Agreement,"1,257,463",GlobalCorp Industries,VendorMax Solutions,"March 23, 2025","February 09, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0077,CNT-2024-0077_WARNING_LOW_Subscription_Agreement.txt,WARNING,LOW,Subscription Agreement,"13,268",DataStream Systems,CloudScale Networks,"November 18, 2025","February 05, 2026",Standard
CNT-2024-0078,CNT-2024-0078_EXPIRED_CRITICAL_Supply_Agreement.txt,EXPIRED,CRITICAL,Supply Agreement,"533,728",NexGen Technologies,SecureData Corp,"November 30, 2025","October 12, 2025","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0079,CNT-2024-0079_ACTIVE_CRITICAL_Marketing_Services_Agreement.txt,ACTIVE,CRITICAL,Marketing Services Agreement,"854,655",InnovateTech Inc,SecureData Corp,"June 22, 2025","June 08, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0080,CNT-2024-0080_PENDING_MEDIUM_Cloud_Services_Agreement.txt,PENDING,MEDIUM,Cloud Services Agreement,"73,868",GlobalCorp Industries,SecureData Corp,"June 21, 2025","March 31, 2028",Standard
CNT-2024-0081,CNT-2024-0081_WARNING_HIGH_Distribution_Agreement.txt,WARNING,HIGH,Distribution Agreement,"311,019",GlobalCorp Industries,SecureData Corp,"March 16, 2025","January 28, 2026","GDPR, PCI-DSS, SOC 2"
CNT-2024-0082,CNT-2024-0082_RENEWED_CRITICAL_Marketing_Services_Agreement.txt,RENEWED,CRITICAL,Marketing Services Agreement,"1,395,195",NexGen Technologies,BuildPro Construction,"October 29, 2025","February 25, 2029","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0083,CNT-2024-0083_EXPIRED_LOW_Cloud_Services_Agreement.txt,EXPIRED,LOW,Cloud Services Agreement,"18,567",TechCorp Solutions,BuildPro Construction,"April 08, 2025","November 26, 2025",Standard
CNT-2024-0084,CNT-2024-0084_ACTIVE_LOW_Construction_Contract.txt,ACTIVE,LOW,Construction Contract,"17,591",TechCorp Solutions,SecureData Corp,"November 02, 2025","June 05, 2029",Standard
CNT-2024-0085,CNT-2024-0085_EXPIRED_LOW_Supply_Agreement.txt,EXPIRED,LOW,Supply Agreement,"6,572",GlobalCorp Industries,SecureData Corp,"October 12, 2025","November 12, 2025",Standard
CNT-2024-0086,CNT-2024-0086_ACTIVE_LOW_Manufacturing_Agreement.txt,ACTIVE,LOW,Manufacturing Agreement,"21,376",DataStream Systems,DataVault Systems,"January 26, 2025","May 25, 2027",Standard
CNT-2024-0087,CNT-2024-0087_RENEWED_CRITICAL_Distribution_Agreement.txt,RENEWED,CRITICAL,Distribution Agreement,"755,689",TechCorp Solutions,CloudScale Networks,"January 30, 2025","December 09, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0088,CNT-2024-0088_RENEWED_HIGH_Professional_Services_Contract.txt,RENEWED,HIGH,Professional Services Contract,"168,710",NexGen Technologies,BuildPro Construction,"April 23, 2025","April 20, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0089,CNT-2024-0089_RENEWED_MEDIUM_Marketing_Services_Agreement.txt,RENEWED,MEDIUM,Marketing Services Agreement,"97,693",InnovateTech Inc,BuildPro Construction,"May 23, 2025","May 11, 2028",Standard
CNT-2024-0090,CNT-2024-0090_RENEWED_HIGH_Healthcare_Services_Agreement.txt,RENEWED,HIGH,Healthcare Services Agreement,"301,231",InnovateTech Inc,BuildPro Construction,"October 19, 2025","September 15, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0091,CNT-2024-0091_EXPIRED_MEDIUM_Cloud_Services_Agreement.txt,EXPIRED,MEDIUM,Cloud Services Agreement,"77,854",DataStream Systems,SecureData Corp,"July 28, 2025","September 19, 2025",Standard
CNT-2024-0092,CNT-2024-0092_PENDING_CRITICAL_Healthcare_Services_Agreement.txt,PENDING,CRITICAL,Healthcare Services Agreement,"830,240",InnovateTech Inc,VendorMax Solutions,"September 30, 2025","December 24, 2027","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0093,CNT-2024-0093_RENEWED_MEDIUM_Logistics_Contract.txt,RENEWED,MEDIUM,Logistics Contract,"47,468",GlobalCorp Industries,CloudScale Networks,"June 04, 2025","October 30, 2026",Standard
CNT-2024-0094,CNT-2024-0094_PENDING_HIGH_Construction_Contract.txt,PENDING,HIGH,Construction Contract,"470,009",DataStream Systems,SecureData Corp,"September 09, 2025","July 11, 2027","GDPR, PCI-DSS, SOC 2"
CNT-2024-0095,CNT-2024-0095_EXPIRED_LOW_Manufacturing_Agreement.txt,EXPIRED,LOW,Manufacturing Agreement,"20,313",NexGen Technologies,SecureData Corp,"August 10, 2025","January 03, 2026",Standard
CNT-2024-0096,CNT-2024-0096_WARNING_MEDIUM_Cloud_Services_Agreement.txt,WARNING,MEDIUM,Cloud Services Agreement,"96,749",NexGen Technologies,SecureData Corp,"February 28, 2025","January 30, 2026",Standard
CNT-2024-0097,CNT-2024-0097_ACTIVE_HIGH_API_Integration_License.txt,ACTIVE,HIGH,API Integration License,"187,572",DataStream Systems,SecureData Corp,"June 08, 2025","March 10, 2027","GDPR, PCI-DSS, SOC 2"
CNT-2024-0098,CNT-2024-0098_PENDING_CRITICAL_Software_Licensing_Agreement.txt,PENDING,CRITICAL,Software Licensing Agreement,"1,236,126",InnovateTech Inc,BuildPro Construction,"December 11, 2025","May 17, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0099,CNT-2024-0099_EXPIRED_MEDIUM_Marketing_Services_Agreement.txt,EXPIRED,MEDIUM,Marketing Services Agreement,"48,004",NexGen Technologies,BuildPro Construction,"March 21, 2025","October 17, 2025",Standard
CNT-2024-0100,CNT-2024-0100_ACTIVE_CRITICAL_Equipment_Lease.txt,ACTIVE,CRITICAL,Equipment Lease,"1,831,996",InnovateTech Inc,CloudScale Networks,"August 28, 2025","January 08, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0101,CNT-2024-0101_EXPIRED_HIGH_Financial_Services_Agreement.txt,EXPIRED,HIGH,Financial Services Agreement,"352,799",GlobalCorp Industries,SecureData Corp,"May 07, 2025","August 10, 2025","GDPR, PCI-DSS, SOC 2"
CNT-2024-0102,CNT-2024-0102_RENEWED_HIGH_Maintenance_Contract.txt,RENEWED,HIGH,Maintenance Contract,"176,974",InnovateTech Inc,DataVault Systems,"December 04, 2025","August 10, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0103,CNT-2024-0103_ACTIVE_HIGH_Vendor_Agreement.txt,ACTIVE,HIGH,Vendor Agreement,"240,534",NexGen Technologies,CloudScale Networks,"June 27, 2025","March 29, 2029","GDPR, PCI-DSS, SOC 2"
CNT-2024-0104,CNT-2024-0104_EXPIRED_MEDIUM_Marketing_Services_Agreement.txt,EXPIRED,MEDIUM,Marketing Services Agreement,"80,833",InnovateTech Inc,SecureData Corp,"May 02, 2025","October 30, 2025",Standard
CNT-2024-0105,CNT-2024-0105_ACTIVE_HIGH_Partnership_Agreement.txt,ACTIVE,HIGH,Partnership Agreement,"157,285",NexGen Technologies,VendorMax Solutions,"March 14, 2025","March 28, 2028","GDPR, PCI-DSS, SOC 2"
CNT-2024-0106,CNT-2024-0106_WARNING_MEDIUM_IT_Support_Contract.txt,WARNING,MEDIUM,IT Support Contract,"35,222",DataStream Systems,BuildPro Construction,"October 10, 2025","February 04, 2026",Standard
CNT-2024-0107,CNT-2024-0107_ACTIVE_LOW_Consulting_Services_Agreement.txt,ACTIVE,LOW,Consulting Services Agreement,"22,718",NexGen Technologies,SecureData Corp,"September 10, 2025","September 30, 2026",Standard
CNT-2024-0108,CNT-2024-0108_WARNING_CRITICAL_API_Integration_License.txt,WARNING,CRITICAL,API Integration License,"1,351,543",NexGen Technologies,SecureData Corp,"June 15, 2025","February 06, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0109,CNT-2024-0109_RENEWED_LOW_Subscription_Agreement.txt,RENEWED,LOW,Subscription Agreement,"12,111",TechCorp Solutions,BuildPro Construction,"September 13, 2025","August 22, 2028",Standard
CNT-2024-0110,CNT-2024-0110_PENDING_CRITICAL_Marketing_Services_Agreement.txt,PENDING,CRITICAL,Marketing Services Agreement,"1,034,094",InnovateTech Inc,SecureData Corp,"March 23, 2025","July 08, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0111,CNT-2024-0111_WARNING_CRITICAL_Manufacturing_Agreement.txt,WARNING,CRITICAL,Manufacturing Agreement,"977,810",GlobalCorp Industries,CloudScale Networks,"July 16, 2025","January 18, 2026","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0112,CNT-2024-0112_ACTIVE_CRITICAL_Consulting_Services_Agreement.txt,ACTIVE,CRITICAL,Consulting Services Agreement,"1,639,572",NexGen Technologies,VendorMax Solutions,"June 25, 2025","March 09, 2028","HIPAA, GDPR, PCI-DSS, FDA, SOX"
CNT-2024-0113,CNT-2024-0113_PENDING_MEDIUM_Software_Licensing_Agreement.txt,PENDING,MEDIUM,Software Licensing Agreement,"47,602",NexGen Technologies,DataVault Systems,"December 04, 2025","February 29, 2028",Standard
CNT-2024-0114,CNT-2024-0114_PENDING_LOW_Office_Lease_Agreement.txt,PENDING,LOW,Office Lease Agreement,"21,514",DataStream Systems,SecureData Corp,"September 06, 2025","December 22, 2027",Standard
